base_date,airport,airport_-1day,airport_-2day,총관광객,내국인,tourist_-1day,tourist_-2day,base_day,fri,mon,sat,sun,thu,tue,wed,평균기온,강수 계속시간(hr),일강수량(mm),최대 풍속(m/s),평균 풍속(m/s),weekend,holiday,holiandweekend,std_airport,month,01,02,03,04,05,06,07,08,09,10,11,12,관광지하차관광객(y)
20180925,5131,3677,3812,43123,38845,42066,47760,tue,0,0,0,0,0,1,0,21.5,0.0,0.0,6.3,4.0,0,1,1,0.38741389228696577,09,0,0,0,0,0,0,0,0,1,0,0,0,3118
20180926,7333,5131,3677,44378,40057,43123,42066,wed,0,0,0,0,0,0,1,22.2,0.78,0.0,8.0,4.8,0,0,0,2.210682777428065,09,0,0,0,0,0,0,0,0,1,0,0,0,2783
20180927,5821,7333,5131,39342,35068,44378,43123,thu,0,0,0,0,1,0,0,21.2,0.0,0.0,6.3,3.3,0,0,0,0.9587379298652394,09,0,0,0,0,0,0,0,0,1,0,0,0,3201
20180928,4357,5821,7333,36891,32952,39342,44378,fri,1,0,0,0,0,0,0,21.7,2.15,0.0,6.1,3.2,0,0,0,-0.2534626368225759,09,0,0,0,0,0,0,0,0,1,0,0,0,3327
20180929,3272,4357,5821,38266,33234,36891,39342,sat,0,0,1,0,0,0,0,20.7,11.32,3.0,7.7,4.2,1,0,1,-1.151848985768122,09,0,0,0,0,0,0,0,0,1,0,0,0,2423
20180930,4939,3272,4357,38467,33949,38266,36891,sun,0,0,0,1,0,0,0,21.9,0.0,0.0,9.0,5.8,1,0,1,0.22843676878692443,09,0,0,0,0,0,0,0,0,1,0,0,0,3066
20181001,4126,4939,3272,35866,31194,38467,38266,mon,0,1,0,0,0,0,0,21.3,0.62,0.0,8.6,5.6,0,0,0,-0.44473198853356316,10,0,0,0,0,0,0,0,0,0,1,0,0,3411
20181002,3941,4126,4939,36014,31507,35866,38467,tue,0,0,0,0,0,1,0,20.7,0.0,0.0,4.7,3.0,0,0,0,-0.5979130710726656,10,0,0,0,0,0,0,0,0,0,1,0,0,3503
20181003,3478,3941,4126,36422,31212,36014,35866,wed,0,0,0,0,0,0,1,19.2,0.0,0.0,3.3,1.8,0,1,1,-0.9812797803462028,10,0,0,0,0,0,0,0,0,0,1,0,0,3544
20181004,3820,3478,3941,31629,27139,36422,36014,thu,0,0,0,0,1,0,0,20.4,10.42,3.4,6.6,3.3,0,0,0,-0.6981017791117541,10,0,0,0,0,0,0,0,0,0,1,0,0,3044
